feature_id,area,feature,user_story,expected_behavior,source_evidence,verification_status,last_tested,test_evidence,defect_id,notes
F086,Arena API,Resolve human winner,As an operator I want a human winner to queue the payout.,POST /api/arena/seasons/{season_id}/resolve with a human winner marks season completed and creates a payout equal to 90% of the human entry pool.,backend/api.py; backend/arena.py; backend/tests/test_arena.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F087,Arena API,Resolve CPU winner,As an operator I want CPU wins to refund human entrants and never pay CPUs.,"Resolving a CPU winner marks season completed, creates 90% refunds to humans, keeps 10% house fee, and creates no CPU payout records.",backend/api.py; backend/arena.py; backend/tests/test_arena.py,Browser passed,2026-06-23,Browser CPU winner resolve queued $22.50 refund and no alert,"",""
F088,Arena API,CPU entry payment boundaries,As an operator I want CPU/default entries not to look like paid humans.,"CPU entries have no wallet_address, no payout_address, and no payment_id.",backend/arena.py; backend/tests/test_arena.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F089,Arena API,Arena reset,As a local tester I want to reset the paid-beta demo room.,POST /api/arena/dev/reset reseeds the demo arena and returns room list.,backend/api.py; backend/arena.py,Browser passed,2026-06-23,Browser Reset Arena returned room to open state and cleared manifest,"",""
F090,Arena UI,Room control panel,As an arena tester I want a single panel to exercise the closed-beta lifecycle.,"ArenaApp displays room status, humans, CPU fill, start votes, human pool, and buttons for Lock Demo Human, Vote Start, Fill CPU + Start, and Reset Arena with busy/status guards.",frontend/src/components/arena/ArenaApp.tsx,Fixed and browser passed,2026-06-23,Browser room controls disable lifecycle-expired start action; no console warnings/errors,D007,Fixed arena lifecycle buttons after room start.
F091,Arena UI,Arena API base,As a local user on a non-default frontend port I want Arena to call the same backend as Benchmark.,ArenaApp uses NEXT_PUBLIC_API_URL or hardcoded http://localhost:8000 rather than the shared apiUrl helper.,frontend/src/components/arena/ArenaApp.tsx; frontend/src/lib/api.ts,Fixed and browser passed,2026-06-23,ArenaApp now uses shared apiUrl; browser /arena local flow completed through backend on localhost:8000,D004,Fixed Arena hardcoded API base by using shared apiUrl.
F092,Arena UI,Cast manifest display,As an arena tester I want to inspect committed human and CPU entries.,"ArenaApp shows empty CPU preview before start, then seat cards with seat number, character name, model_id, participant type, archetype, soul hash prefix, and locked check state.",frontend/src/components/arena/ArenaApp.tsx,Browser passed,2026-06-23,Browser arena cast manifest showed 16 seat cards with human/CPU labels and soul hash prefixes,"",""
F093,Arena UI,Broadcast panel,As an arena viewer I want a simple committed event feed after start.,"ArenaApp shows broadcast events with sequence, title, and body; before start it shows muted copy telling the user to start the room.",frontend/src/components/arena/ArenaApp.tsx,Browser passed,2026-06-23,Browser arena broadcast feed populated after start,"",""
F094,Arena UI,Result simulation panel,As an arena tester I want to choose a winner and inspect payout/refund consequences.,"ArenaApp enables winner select after manifest exists, posts resolve, and MoneyMovements shows queued winner payouts or CPU-win refunds.",frontend/src/components/arena/ArenaApp.tsx,Fixed and browser passed,2026-06-23,Browser Resolve Season disabled after completed reload; CPU winner refund displayed,D007,Fixed Resolve Season remaining enabled after completion.
F095,Arena UI,Arena error handling,As an arena user I want failed actions to be visible.,ArenaApp catches action/load errors and renders an alert with role=alert.,frontend/src/components/arena/ArenaApp.tsx,Browser passed,2026-06-23,Arena flow completed without role=alert errors and without console warnings/errors,"",""
F100,Legacy Frontend,Unused phase components,As a maintainer I want to know whether older phase viewers are part of the shipped UX.,"PhaseAChallenge, PhaseBScramble, PhaseCTribal, PhaseDMemory, PhaseEFinale, GodModeFeed, and useGameState exist but are not imported by any route in frontend/src.",frontend/src/components/phases/*; frontend/src/components/spectator/GodModeFeed.tsx; frontend/src/hooks/useGameState.ts,Inventory only,2026-06-23,rg import search showed no route usage,"","Track as dormant code, not a current user-accessible feature."
